Row,State,DivisionNm,Year1,Party1,Year2,Party2
57,NSW,Fowler,2010,ALP,2013,ALP
58,TAS,Franklin,2010,ALP,2013,ALP
59,WA,Fremantle,2010,ALP,2013,ALP
60,VIC,Gellibrand,2010,ALP,2013,ALP
61,NSW,Gilmore,2010,LP,2013,LP
62,VIC,Gippsland,2010,NP,2013,NP
63,VIC,Goldstein,2010,LP,2013,LP
64,VIC,Gorton,2010,ALP,2013,ALP
65,NSW,Grayndler,2010,ALP,2013,ALP
66,NSW,Greenway,2010,ALP,2013,ALP
67,SA,Grey,2010,LP,2013,LP
68,QLD,Griffith,2010,ALP,2013,ALP
69,QLD,Groom,2010,LNQ,2013,LNP
70,WA,Hasluck,2010,LP,2013,LP
71,VIC,Hawke,2010,,2013,
72,QLD,Herbert,2010,LNQ,2013,LNP
73,SA,Hindmarsh,2010,ALP,2013,LP
74,QLD,Hinkler,2010,LNQ,2013,LNP
75,VIC,Holt,2010,ALP,2013,ALP
76,VIC,Hotham,2010,ALP,2013,ALP
77,NSW,Hughes,2010,LP,2013,LP
78,NSW,Hume,2010,LP,2013,LP
79,NSW,Hunter,2010,ALP,2013,ALP
80,VIC,Indi,2010,LP,2013,IND
81,VIC,Isaacs,2010,ALP,2013,ALP
82,VIC,Jagajaga,2010,ALP,2013,ALP
83,QLD,Kennedy,2010,IND,2013,KAP
84,NSW,Kingsford Smith,2010,ALP,2013,ALP
85,SA,Kingston,2010,ALP,2013,ALP
86,VIC,Kooyong,2010,LP,2013,LP
87,VIC,La Trobe,2010,ALP,2013,LP
88,VIC,Lalor,2010,ALP,2013,ALP
89,QLD,Leichhardt,2010,LNQ,2013,LP
90,QLD,Lilley,2010,ALP,2013,ALP
91,NSW,Lindsay,2010,ALP,2013,LP
92,NT,Lingiari,2010,ALP,2013,ALP
93,QLD,Longman,2010,LNQ,2013,LNP
94,NSW,Lyne,2010,IND,2013,NP
95,TAS,Lyons,2010,ALP,2013,LP
96,NSW,Macarthur,2010,LP,2013,LP
97,NSW,Mackellar,2010,LP,2013,LP
