DivisionID,Electoral Division,State,CandidateID,GivenNm,Surname,Party,PartyAb,ElectYear
320,Cooper,Victoria,40856,Ged,KEARNEY,Australian Labor Party,ALP,2025
328,Corangamite,Victoria,40877,Libby,COKER,Australian Labor Party,ALP,2025
208,Corio,Victoria,40854,Richard,MARLES,Australian Labor Party,ALP,2025
237,Cowan,Western Australia,41353,Anne,ALY,Australian Labor Party,ALP,2025
113,Cowper,New South Wales,41937,Pat,CONAGHAN,The Nationals,NP,2025
114,Cunningham,New South Wales,41343,Alison,BYRNES,Australian Labor Party,ALP,2025
238,Curtin,Western Australia,36589,Kate,CHANEY,Independent,IND,2025
158,Dawson,Queensland,41203,Andrew,WILLCOX,Liberal National Party of Queensland,LNP,2025
209,Deakin,Victoria,40861,Matt,GREGG,Australian Labor Party,ALP,2025
252,Dickson,Queensland,40742,Ali,FRANCE,Australian Labor Party,ALP,2025
115,Dobell,New South Wales,41358,Emma,McBRIDE,Australian Labor Party,ALP,2025
210,Dunkley,Victoria,40864,Jodie,BELYEA,Australian Labor Party,ALP,2025
312,Durack,Western Australia,41247,Melissa,PRICE,Liberal Party,LP,2025
117,Eden-Monaro,New South Wales,41737,Kristy,McBAIN,Australian Labor Party,ALP,2025
159,Fadden,Queensland,41211,Cameron,CALDWELL,Liberal National Party of Queensland,LNP,2025
160,Fairfax,Queensland,41213,Ted,O''BRIEN,Liberal National Party of Queensland,LNP,2025
118,Farrer,New South Wales,41463,Sussan,LEY,Liberal Party,LP,2025
102,Fenner,Australian Capital Territory,40678,Andrew,LEIGH,Australian Labor Party,ALP,2025
161,Fisher,Queensland,41219,Andrew,WALLACE,Liberal National Party of Queensland,LNP,2025
211,Flinders,Victoria,40748,Zoe,McKENZIE,Liberal Party,LP,2025
311,Flynn,Queensland,41161,Colin,BOYCE,Liberal National Party of Queensland,LNP,2025
162,Forde,Queensland,40732,Rowan,HOLZBERGER,Australian Labor Party,ALP,2025
239,Forrest,Western Australia,41252,Ben,SMALL,Liberal Party,LP,2025
119,Fowler,New South Wales,36240,Dai,LE,Independent,IND,2025
