DivisionNm,2004,2007,2010,2013,2016,2019,2022,2025,State
Chifley,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Chisholm,ALP,ALP,ALP,ALP,LP,LP,ALP,ALP,
Clark,,,,,,IND,IND,IND,
Cook,LP,LP,LP,LP,LP,LP,LP,LP,
Cooper,,,,,,ALP,ALP,ALP,
Corangamite,LP,ALP,ALP,LP,LP,ALP,ALP,ALP,
Corio,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Cowan,ALP,LP,LP,LP,ALP,ALP,ALP,ALP,
Cowper,NP,NP,NP,NP,NP,NP,NP,NP,
Cunningham,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Curtin,LP,LP,LP,LP,LP,LP,IND,IND,
Dawson,NP,ALP,LNQ,LNP,LNP,LNP,LNP,LNP,
Deakin,LP,ALP,ALP,LP,LP,LP,LP,ALP,
Denison,ALP,ALP,IND,IND,IND,,,,
Dickson,LP,LP,LNQ,LNP,LNP,LNP,LNP,ALP,
Dobell,LP,ALP,ALP,LP,ALP,ALP,ALP,ALP,
Dunkley,LP,LP,LP,LP,LP,ALP,ALP,ALP,
Durack,,,LP,LP,LP,LP,LP,LP,
Eden-Monaro,LP,ALP,ALP,LP,ALP,ALP,ALP,ALP,
Fadden,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Fairfax,LP,LP,LNQ,PUP,LNP,LNP,LNP,LNP,
Farrer,LP,LP,LP,LP,LP,LP,LP,LP,
Fenner,,,,,ALP,ALP,ALP,ALP,
Fisher,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Flinders,LP,LP,LP,LP,LP,LP,LP,LP,
Flynn,,ALP,LNQ,LNP,LNP,LNP,LNP,LNP,
Forde,LP,ALP,LNQ,LNP,LNP,LNP,LNP,ALP,
Forrest,LP,LP,LP,LP,LP,LP,LP,LP,
Fowler,ALP,ALP,ALP,ALP,ALP,ALP,IND,IND,
Franklin,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Fraser,ALP,ALP,ALP,ALP,,ALP,ALP,ALP,
Fremantle,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Gellibrand,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Gilmore,LP,LP,LP,LP,LP,ALP,ALP,ALP,
Gippsland,NP,NP,NP,NP,NP,NP,NP,NP,
Goldstein,LP,LP,LP,LP,LP,LP,IND,LP,
Gorton,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Grayndler,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Greenway,LP,LP,ALP,ALP,ALP,ALP,ALP,ALP,
Grey,LP,LP,LP,LP,LP,LP,LP,LP,
Griffith,ALP,ALP,ALP,ALP,ALP,ALP,GRN,ALP,
Groom,LP,LP,LNQ,LNP,LNP,LNP,LNP,LNP,
Gwydir,NP,,,,,,,,
Hasluck,LP,ALP,LP,LP,LP,LP,ALP,ALP,
Hawke,,,,,,,ALP,ALP,
Herbert,LP,LP,LNQ,LNP,ALP,LNP,LNP,LNP,
Higgins,LP,LP,LP,LP,LP,LP,ALP,,
Hindmarsh,ALP,ALP,ALP,LP,ALP,ALP,ALP,ALP,
Hinkler,NP,NP,LNQ,LNP,LNP,LNP,LNP,LNP,
Holt,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Hotham,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Hughes,LP,LP,LP,LP,LP,LP,LP,ALP,
Hume,LP,LP,LP,LP,LP,LP,LP,LP,
Hunter,ALP,ALP,ALP,ALP,ALP,ALP,ALP,ALP,
Indi,LP,LP,LP,IND,IND,IND,IND,IND,
